RBD,DV_RBD,NOMBRE_ESTABLECIMIENTO,DEPENDENCIA,AREA,COD_REGION,COD_PROV,COD_COM_EST,COMUNA,PRIMERA_PRIORIDAD,SEGUNDA_PRIORIDAD,TERCERA_PRIORIDAD,NO_VULNERABLES,SIN_INFORMACION,TOTAL_MATRICULA_2015,IVE_SINAE_2016
111,2,ESCUELA GABRIELA MISTRAL,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,198,17,38,68,1,322,78.6
112,0,ESCUELA EDUARDO LLANOS,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,252,27,54,95,2,430,77.4
113,9,ESCUELA ALMIRANTE PATRICIO LYNCH,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,342,67,74,91,1,575,84
114,7,ESCUELA PLACIDO VILLARROEL,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,204,25,36,50,0,315,84.1
116,3,COLEGIO REPUBLICA DE CROACIA,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,190,31,31,25,1,278,90.6
117,1,ESCUELA PAULA JARAQUEMADA ALQUIZAR,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,129,18,43,33,0,223,85.2
119,8,ESCUELA CENTENARIO,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,135,16,20,16,1,188,91
122,8,ESCUELA THILDA PORTILLO OLIVARES,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,133,19,41,36,0,229,84.3
123,6,COLEGIO ESPANA,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,157,16,26,35,0,234,85
125,2,ESCUELA PROFESOR MANUEL CASTRO RAMOS,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,338,56,84,146,5,629,76
126,0,COLEGIO REPUBLICA DE ITALIA,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,276,36,41,74,1,428,82.5
127,9,LICEO MARIA AUXILIADORA,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,131,26,76,326,25,584,39.9
129,5,LICEO SUPERIOR GABRIELA MISTRAL,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,21,8,11,7,0,47,85.1
130,9,COLEGIO NORTH COLLEGE,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,78,6,41,129,3,257,48.6
131,7,LICEO PARTICULAR MIXTO ESCASCE,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,56,11,25,65,1,158,58.2
132,5,LICEO ACADEMIA IQUIQUE,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,166,13,124,568,93,964,31.4
133,3,COLEGIO ADVENTISTA DE IQUIQUE,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,198,29,57,114,5,403,70.5
134,1,LICEO ATENEA,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,118,15,23,58,2,216,72.2
144,9,COLEGIO IQUIQUE YOUNG SCHOOL,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,101,19,34,84,1,239,64.4
154,6,ESCUELA BASICA FRONTERIZA,MUNICIPAL - DAEM,RURAL,1,14,1404,HUARA,8,2,1,1,0,12,91.7
156,2,ESCUELA PISAGUA,MUNICIPAL - DAEM,RURAL,1,14,1404,HUARA,35,2,4,1,0,42,97.6
158,9,ESCUELA CHIAPA,MUNICIPAL - DAEM,RURAL,1,14,1404,HUARA,1,0,0,0,0,1,100
159,7,ESCUELA JAINA,MUNICIPAL - DAEM,RURAL,1,14,1404,HUARA,2,0,0,0,0,2,100
160,0,ESCUELA PACHICA,MUNICIPAL - DAEM,RURAL,1,14,1404,HUARA,21,2,0,1,0,24,95.8
161,9,LICEO DE HUARA,MUNICIPAL - DAEM,RURAL,1,14,1404,HUARA,124,10,5,19,0,158,88
162,7,ESCUELA SIBAYA,MUNICIPAL - DAEM,RURAL,1,14,1404,HUARA,31,0,0,0,0,31,100
167,8,ESCUELA CAMINA,MUNICIPAL - DAEM,RURAL,1,14,1402,CAMIÑA,60,0,4,10,0,74,86.5
168,6,ESCUELA CUISAMA,MUNICIPAL - DAEM,RURAL,1,14,1402,CAMIÑA,3,0,0,2,0,5,60
169,4,ESCUELA QUISTAGAMA,MUNICIPAL - DAEM,RURAL,1,14,1402,CAMIÑA,7,3,2,2,0,14,85.7
170,8,ESCUELA NAMA,MUNICIPAL - DAEM,RURAL,1,14,1402,CAMIÑA,3,0,0,1,0,4,75
171,6,ESCUELA APAMILCA,MUNICIPAL - DAEM,RURAL,1,14,1402,CAMIÑA,4,0,0,0,0,4,100
172,4,ESCUELA CHAPIQUILTA,MUNICIPAL - DAEM,RURAL,1,14,1402,CAMIÑA,6,1,0,0,0,7,100
173,2,ESCUELA MOQUELLA,MUNICIPAL - DAEM,RURAL,1,14,1402,CAMIÑA,13,2,0,0,0,15,100
174,0,ESCUELA FRANCIA,MUNICIPAL - DAEM,RURAL,1,14,1402,CAMIÑA,15,1,0,0,0,16,100
175,9,ESCUELA YALA YALA,MUNICIPAL - DAEM,RURAL,1,14,1402,CAMIÑA,2,0,0,0,0,2,100
177,5,ESCUELA BASICA CARIQUIMA,MUNICIPAL - DAEM,RURAL,1,14,1403,COLCHANE,6,0,1,1,0,8,87.5
178,3,LICEO TECNICO PROFESIONAL COLCHANE,MUNICIPAL - DAEM,RURAL,1,14,1403,COLCHANE,69,3,0,1,0,73,98.6
179,1,ESCUELA BASICA MAUQUE,MUNICIPAL - DAEM,RURAL,1,14,1403,COLCHANE,1,0,0,0,0,1,100
185,6,ESCUELA BASICA PISIGA-CHOQUE,MUNICIPAL - DAEM,RURAL,1,14,1403,COLCHANE,3,0,0,0,0,3,100
186,4,ESCUELA BASICA ENQUELGA,MUNICIPAL - DAEM,RURAL,1,14,1403,COLCHANE,2,0,0,0,0,2,100
187,2,ESCUELA VERTIENTE DEL SABER,MUNICIPAL - DAEM,URBANO,1,14,1405,PICA,114,19,23,66,1,223,70
188,0,ESC. MATILLA DE NUEVA EXTREMADURA,MUNICIPAL - DAEM,RURAL,1,14,1405,PICA,65,10,2,27,0,104,74
192,9,ESCUELA BASICA MAMINA,MUNICIPAL - CORPORACIÓN,RURAL,1,14,1401,POZO ALMONTE,21,4,3,9,0,37,75.7
193,7,ESCUELA BASICA POZO ALMONTE,MUNICIPAL - CORPORACIÓN,RURAL,1,14,1401,POZO ALMONTE,251,56,45,108,0,460,76.5
195,3,ESCUELA BASICA LA TIRANA,MUNICIPAL - CORPORACIÓN,RURAL,1,14,1401,POZO ALMONTE,129,6,17,12,0,164,92.7
196,1,ESCUELA BASICA HUATACONDO,MUNICIPAL - CORPORACIÓN,RURAL,1,14,1401,POZO ALMONTE,8,0,1,3,0,12,75
198,8,ESCUELA BASICA LA HUAYCA,MUNICIPAL - CORPORACIÓN,RURAL,1,14,1401,POZO ALMONTE,56,2,6,8,0,72,88.9
201,1,ESCUELA CARLOS CONDELL DE LA HAZA,MUNICIPAL - DAEM,URBANO,2,23,2301,TOCOPILLA,275,28,55,104,2,464,77.2
203,8,ESCUELA PABLO NERUDA,MUNICIPAL - DAEM,URBANO,2,23,2301,TOCOPILLA,340,20,51,87,0,498,82.5
204,6,ESCUELA L.GRAL.BERNARDO O´HIGGINS R.,MUNICIPAL - DAEM,URBANO,2,23,2301,TOCOPILLA,245,9,20,34,0,308,89
205,4,ESCUELA ARTURO PRAT CHACON,MUNICIPAL - DAEM,URBANO,2,23,2301,TOCOPILLA,242,12,29,68,0,351,80.6
206,2,ESCUELA ESTADOS UNIDOS DE NORTEAMERICA,MUNICIPAL - DAEM,URBANO,2,23,2301,TOCOPILLA,173,12,21,56,1,263,78.3
208,9,COLEGIO SAGRADA FAMILIA,PARTICULAR SUBVENCIONADO,URBANO,2,23,2301,TOCOPILLA,199,10,76,359,8,652,43.7
210,0,ESCUELA ARTURO PEREZ CANTO,MUNICIPAL - DAEM,URBANO,2,23,2302,MARÍA ELENA,225,13,28,284,11,561,47.4
214,3,ESCUELA IGNACIO CARRERA PINTO,MUNICIPAL - DAEM,RURAL,2,23,2302,MARÍA ELENA,6,3,1,3,0,13,76.9
223,2,ESCUELA CLAUDIO ARRAU,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,220,25,38,105,0,388,72.9
224,0,ESCUELA GRECIA,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,367,51,65,175,2,660,73.2
225,9,ESCUELA REPUBLICA DE BOLIVIA,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,298,60,137,384,3,882,56.1
226,7,ESCUELA BASICA EMILIO SOTOMAYOR,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,470,76,108,356,5,1015,64.4
227,5,ESCUELA BASICA PRESIDENTE BALMACEDA,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,646,91,152,450,9,1348,65.9
228,3,ESCUELA BASICA VADO DE TOPATER,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,199,43,51,212,4,509,57.6
229,1,ESCUELA REPUBLICA DE CHILE,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,221,37,67,251,12,588,55.3
230,5,ESCUELA BASICA ANDRES BELLO,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,227,49,53,161,4,494,66.6
231,3,ESCUELA BASICA JOHN FITZGERALD KENNEDY,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,255,40,80,290,2,667,56.2
232,1,ESCUELA BASICA PEDRO VERGARA KELLER,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,251,39,39,104,0,433,76
239,9,ESCUELA BASICA 21 DE MAYO,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,252,38,33,126,0,449,71.9
240,2,ESCUELA BASICA REPUBLICA DE FRANCIA,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,193,48,59,254,4,558,53.8
243,7,ESCUELA BASICA PUKARA,MUNICIPAL - CORPORACIÓN,RURAL,2,22,2201,CALAMA,1,1,2,2,0,6,66.7
246,1,ESCUELA BASICA SENORA DE LA CANDELARIA,MUNICIPAL - CORPORACIÓN,RURAL,2,22,2201,CALAMA,11,0,0,1,0,12,91.7
248,8,ESCUELA BASICA SAN JOSE,MUNICIPAL - CORPORACIÓN,RURAL,2,22,2201,CALAMA,1,1,1,0,0,3,100
252,6,ESCUELA BASICA SAN FRANCISCO,MUNICIPAL - CORPORACIÓN,RURAL,2,22,2201,CALAMA,44,5,11,19,1,80,75
253,4,COLEGIO ADVENTISTA DE CALAMA,PARTICULAR SUBVENCIONADO,URBANO,2,22,2201,CALAMA,160,29,75,336,20,620,42.6
254,2,FUNDACION EDUC.COLEGIO NUESTRA SRA.DE AYQUINA,PARTICULAR SUBVENCIONADO,URBANO,2,22,2201,CALAMA,175,23,89,416,9,712,40.3
255,0,COLEGIO  EJERCITO DE SALVACION,PARTICULAR SUBVENCIONADO,URBANO,2,22,2201,CALAMA,228,33,89,275,6,631,55.5
256,9,INSTITUTO OBISPO SILVA LEZAETA,PARTICULAR SUBVENCIONADO,URBANO,2,22,2201,CALAMA,170,38,151,713,66,1138,31.5
268,2,ESC. BASICA RURAL SAN ANTONIO DE PADUA,MUNICIPAL - DAEM,RURAL,2,22,2202,OLLAGÜE,17,0,0,6,0,23,73.9
269,0,ESCUELA BASICA SAN PEDRO DE ATACAMA,MUNICIPAL - DAEM,RURAL,2,22,2203,SAN PEDRO DE ATACAMA,364,25,68,172,7,636,71.9
270,4,COMPLEJO EDUCACIONAL TOCONAO,MUNICIPAL - DAEM,RURAL,2,22,2203,SAN PEDRO DE ATACAMA,59,10,12,34,0,115,70.4
271,2,ESCUELA BASICA CAMAR,MUNICIPAL - DAEM,RURAL,2,22,2203,SAN PEDRO DE ATACAMA,5,0,0,4,0,9,55.6
273,9,ESCUELA BASICA SOLOR,MUNICIPAL - DAEM,RURAL,2,22,2203,SAN PEDRO DE ATACAMA,12,1,3,8,2,26,61.5
274,7,ESCUELA BASICA SAN ROQUE,MUNICIPAL - DAEM,RURAL,2,22,2203,SAN PEDRO DE ATACAMA,10,2,4,9,0,25,64
275,5,ESCUELA BASICA ANDINA,MUNICIPAL - DAEM,RURAL,2,22,2203,SAN PEDRO DE ATACAMA,2,0,0,0,0,2,100
276,3,ESCUELA BASICA TALABRE,MUNICIPAL - DAEM,RURAL,2,22,2203,SAN PEDRO DE ATACAMA,4,0,0,0,0,4,100
277,1,ESCUELA BASICA SAN BARTOLOME,MUNICIPAL - DAEM,RURAL,2,22,2203,SAN PEDRO DE ATACAMA,19,1,0,4,0,24,83.3
280,1,LICEO COMERCIAL JERARDO MUNOZ CAMPO,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,12,6,2,10,0,30,66.7
284,4,LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,92,21,22,37,1,173,78
285,2,LICEO MARTA NAREA DIAZ,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,146,28,44,89,1,308,70.8
287,9,LICEO DOMINGO HERRERA RIVERA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,26,9,6,30,0,71,57.7
288,7,ESCUELA JAPON,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,453,63,164,476,4,1160,58.6
289,5,ESCUELA ESPANA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,253,39,45,93,1,431,78.2
291,7,ESCUELA PADRE GUSTAVO LE PAIGE WALQUE,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,427,96,145,393,3,1064,62.8
292,5,ESCUELA REPUBLICA DE ITALIA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,200,28,39,142,2,411,65
293,3,ESCUELA JOSE PAPIC RADNIC,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,521,76,109,282,2,990,71.3
294,1,ESCUELA PROFESORA LJUBICA DOMIC WUTH,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,243,60,61,212,3,579,62.9
296,8,ESCUELA REPUBLICA DE LOS ESTADOS UNIDOS,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,241,51,44,172,2,510,65.9
297,6,ESCUELA ALCALDE MAXIMILIANO POBLETE,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,214,32,70,137,4,457,69.1
298,4,ESCUELA DARIO SALAS DIAZ,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,162,33,47,124,5,371,65.2
301,8,ESCUELA ROMULO J. PENA MATURANA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,263,25,49,89,0,426,79.1
302,6,ESCUELA JUAN LOPEZ,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,178,28,39,77,1,323,75.9
303,4,ESCUELA REPUBLICA ARGENTINA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,153,33,35,85,6,312,70.8
304,2,LICEO ANDRES SABELLA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,187,29,108,455,18,797,40.7
305,0,ESCUELA GONZALEZ ECHEGOYEN,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,474,76,116,313,6,985,67.6
306,9,ESCUELA HUANCHACA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,123,17,37,102,2,281,63
310,7,ESCUELA CLAUDIO MATTE PEREZ,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,183,31,54,147,4,419,64
312,3,ESCUELA ECUADOR,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,159,49,37,170,9,424,57.8
313,1,ESCUELA ARTURO PRAT,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,415,63,85,293,8,864,65.2
315,8,ESCUELA HEROES DE LA CONCEPCION,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,136,23,36,90,1,286,68.2
316,6,ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,153,23,33,73,0,282,74.1
317,4,ESCUELA LAS ROCAS,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,404,107,91,352,14,968,62.2
318,2,ESCUELA EDDA CUNEO DONNAGIO,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,24,2,6,164,12,208,15.4
319,0,ESCUELA LA BANDERA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,442,58,73,215,0,788,72.7
320,4,ESCUELA ARMANDO CARRERA GONZALEZ,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,184,38,51,154,6,433,63
322,0,ESCUELA GENERAL MANUEL BAQUEDANO,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,190,34,34,115,1,374,69
324,7,ESCUELA FUNDACION MINERA ESCONDIDA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,134,22,21,39,1,217,81.6
326,3,ESCUELA SANTIAGO AMENGUAL B.,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,180,15,23,45,0,263,82.9
329,8,LICEO LIBERTADORES DE CHILE,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,97,15,51,116,15,294,55.4
332,8,ESCUELA GABRIELA MISTRAL,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,212,21,38,66,0,337,80.4
